trip_id,start_date,route_id,train_id,direction,current_stop_sequence,current_status,timestamp,stop_id,message_timestamp
111350_1..S,20200106,1,/1 1833+ 242/SFT,3,27,1,1578356459,132S,1578359540
109700_1..N03R,20200106,1,01 1817  SFT/242,1,38,1,1578356456,101N,1578359540
110100_1..N03R,20200106,1,01 1821  SFT/242,1,37,1,1578356444,103N,1578359540
110500_1..N03R,20200106,1,01 1825  SFT/242,1,37,2,1578356476,103N,1578359540
110900_1..S03R,20200106,1,01 1829  242/SFT,3,37,1,1578356470,139S,1578359540
111000_1..N03R,20200106,1,01 1830  SFT/242,1,33,2,1578356494,108N,1578359540
111400_1..N03R,20200106,1,01 1834  SFT/242,1,32,2,1578356491,109N,1578359540
111800_1..S03R,20200106,1,01 1838  242/SFT,3,28,0,1578356486,130S,1578359540
111800_1..N03R,20200106,1,01 1838  SFT/242,1,30,0,1578356492,111N,1578359540
112250_1..S03R,20200106,1,01 1842+ 242/SFT,3,26,0,1578356489,128S,1578359540
112400_1..N03R,20200106,1,01 1844  SFT/242,1,26,1,1578356471,115N,1578359540
112700_1..S03R,20200106,1,01 1847  242/SFT,3,24,1,1578356474,126S,1578359540
112950_1..S03R,20200106,1,01 1849+ 242/SFT,3,22,2,1578356482,124S,1578359540
113000_1..N03R,20200106,1,01 1850  SFT/242,1,25,0,1578356492,116N,1578359540
113450_1..S03R,20200106,1,01 1854+ 242/SFT,3,20,0,1578356492,122S,1578359540
113600_1..N03R,20200106,1,01 1856  SFT/242,1,20,1,1578356479,121N,1578359540
113850_1..S03R,20200106,1,01 1858+ 242/SFT,3,18,2,1578356489,120S,1578359540
114200_1..N03R,20200106,1,01 1902  SFT/242,1,15,0,1578356484,126N,1578359540
114250_1..S03R,20200106,1,01 1902+ 242/SFT,3,13,1,1578356452,115S,1578359540
114650_1..S03R,20200106,1,01 1906+ 242/SFT,3,11,2,1578356488,113S,1578359540
114800_1..N03R,20200106,1,01 1908  SFT/242,1,11,0,1578356489,130N,1578359540
115050_1..S03R,20200106,1,01 1910+ 242/SFT,3,8,2,1578356493,110S,1578359540
115450_1..S03R,20200106,1,01 1914+ 242/SFT,3,7,2,1578356494,109S,1578359540
115450_1..N03R,20200106,1,01 1914+ SFT/242,1,7,2,1578356493,134N,1578359540
115900_1..S03R,20200106,1,01 1919  242/SFT,3,3,1,1578356484,104S,1578359540
115900_1..N03R,20200106,1,01 1919  SFT/242,1,3,2,1578356484,138N,1578359540
105650_2..N01R,20200106,2,02 1736+ FLA/241,1,48,1,1578356236,204N,1578359540
105800_2..S01R,20200106,2,02 1738  241/FLA,3,49,2,1578356488,247S,1578359540
106200_2..N01R,20200106,2,02 1742  FLA/241,1,47,1,1578356491,205N,1578359540
106600_2..S01R,20200106,2,02 1746  241/FLA,3,48,0,1578356486,246S,1578359540
106950_2..N01R,20200106,2,02 1749+ FLA/241,1,46,1,1578356449,206N,1578359540
107200_2..S01R,20200106,2,02 1752  241/FLA,3,47,0,1578356482,245S,1578359540
107500_2..N01R,20200106,2,02 1755  FLA/241,1,41,2,1578356489,211N,1578359540
108050_2..S01R,20200106,2,02 1800+ 241/FLA,3,42,1,1578356458,239S,1578359540
108200_2..N01R,20200106,2,02 1802  FLA/241,1,39,0,1578356487,213N,1578359540
108750_2..S01R,20200106,2,02 1807+ 241/FLA,3,38,1,1578356466,235S,1578359540
108750_2..N01R,20200106,2,02 1807+ FLA/241,1,36,0,1578356492,216N,1578359540
109450_2..S01R,20200106,2,02 1814+ 241/FLA,3,35,2,1578356491,232S,1578359540
109500_2..N01R,20200106,2,02 1815  FLA/241,1,34,1,1578356449,218N,1578359540
110050_2..N01R,20200106,2,02 1820+ FLA/241,1,32,1,1578356475,220N,1578359540
110100_2..S01R,20200106,2,02 1821  241/FLA,3,32,2,1578356488,229S,1578359540
110550_2..N01R,20200106,2,02 1825+ FLA/241,1,30,2,1578356489,222N,1578359540
110800_2..S01R,20200106,2,02 1828  241/FLA,3,29,2,1578356476,132S,1578359540
111100_2..N01R,20200106,2,02 1831  FLA/241,1,26,2,1578356488,227N,1578359540
111550_2..S01R,20200106,2,02 1835+ 241/FLA,3,26,2,1578356482,123S,1578359540
111550_2..N01R,20200106,2,02 1835+ FLA/241,1,25,2,1578356494,120N,1578359540
112250_2..S01R,20200106,2,02 1842+ 241/FLA,3,23,0,1578356492,226S,1578359540
112450_2..N01R,20200106,2,02 1844+ FLA/241,1,22,2,1578356482,128N,1578359540
112950_2..S01R,20200106,2,02 1849+ 241/FLA,3,19,1,1578356446,221S,1578359540
113100_2..N01R,20200106,2,02 1851  FLA/241,1,19,1,1578356439,228N,1578359540
113500_2..S01R,20200106,2,02 1855  241/FLA,3,17,2,1578356480,219S,1578359540
113850_2..N01R,20200106,2,02 1858+ FLA/241,1,17,1,1578356445,230N,1578359540
114150_2..S01R,20200106,2,02 1901+ 241/FLA,3,14,0,1578356487,216S,1578359540
114700_2..N01R,20200106,2,02 1907  FLA/241,1,9,2,1578356493,238N,1578359540
114900_2..S01R,20200106,2,02 1909  241/FLA,3,10,0,1578356488,212S,1578359540
115300_2..N01R,20200106,2,02 1913  FLA/241,1,5,1,1578356451,243N,1578359540
115750_2..S01R,20200106,2,02 1917+ 241/FLA,3,6,2,1578356491,208S,1578359540
115900_2..N01R,20200106,2,02 1919  FLA/241,1,3,0,1578356487,245N,1578359540
109750_3..S01R,20200106,3,03 1817+ 148/NLT,3,31,1,1578356470,254S,1578359540
109800_3..N01R,20200106,3,03 1818  NLT/148,1,33,1,1578356428,302N,1578359540
110450_3..S01R,20200106,3,03 1824+ 148/NLT,3,27,1,1578356419,250S,1578359540
110700_3..N01R,20200106,3,03 1827  NLT/148,1,29,2,1578356494,227N,1578359540
111150_3..S01R,20200106,3,03 1831+ 148/NLT,3,25,1,1578356466,248S,1578359540
111600_3..N01R,20200106,3,03 1836  NLT/148,1,26,1,1578356424,127N,1578359540
111850_3..S01R,20200106,3,03 1838+ 148/NLT,3,22,2,1578356477,237S,1578359540
112450_3..N01R,20200106,3,03 1844+ NLT/148,1,24,2,1578356494,132N,1578359540
112950_3..S01R,20200106,3,03 1849+ 148/NLT,3,18,1,1578356473,233S,1578359540
113100_3..N01R,20200106,3,03 1851  NLT/148,1,19,1,1578356455,231N,1578359540
113650_3..S01R,20200106,3,03 1856+ 148/NLT,3,12,2,1578356490,137S,1578359540
113950_3..N01R,20200106,3,03 1859+ NLT/148,1,17,0,1578356494,233N,1578359540
114450_3..S01R,20200106,3,03 1904+ 148/NLT,3,9,2,1578356490,127S,1578359540
114650_3..N01R,20200106,3,03 1906+ NLT/148,1,11,2,1578356493,239N,1578359540
115250_3..S01R,20200106,3,03 1912+ 148/NLT,3,7,2,1578356472,120S,1578359540
115550_3..N01R,20200106,3,03 1915+ NLT/148,1,6,0,1578356487,252N,1578359540
116050_3..S01R,20200106,3,03 1920+ 148/NLT,3,4,2,1578356488,225S,1578359540
108800_4..N06R,20200106,4,04 1808  UTI/WDL,1,27,1,1578356344,402N,1578359540
109800_4..S06R,20200106,4,04 1818  WDL/UTI,3,27,2,1578356483,239S,1578359540
110350_4..S06R,20200106,4,04 1823+ WDL/UTI,3,25,1,1578356471,234S,1578359540
110450_4..N06R,20200106,4,04 1824+ UTI/WDL,1,20,0,1578356485,411N,1578359540
111400_4..N06R,20200106,4,04 1834  UTI/WDL,1,15,1,1578356168,416N,1578359540
111850_4..N06R,20200106,4,04 1838+ UTI/WDL,1,15,2,1578356487,416N,1578359540
111850_4..S06R,20200106,4,04 1838+ WDL/UTI,3,20,2,1578356494,640S,1578359540
112500_4..S06R,20200106,4,04 1845  WDL/UTI,3,18,2,1578356487,631S,1578359540
112650_4..N43R,20200106,4,04 1846+ UTI/BUR,1,14,2,1578356485,621N,1578359540
112950_4..N06R,20200106,4,04 1849+ UTI/WDL,1,13,2,1578356485,626N,1578359540
113100_4..S06R,20200106,4,04 1851  WDL/UTI,3,16,2,1578356492,626S,1578359540
113700_4..N06R,20200106,4,04 1857  UTI/WDL,1,11,2,1578356493,631N,1578359540
113700_4..S06R,20200106,4,04 1857  WDL/UTI,3,15,0,1578356490,621S,1578359540
114300_4..N,20200106,4,04 1903  UTI/WDL,1,6,0,1578356492,420N,1578359540
114300_4..S06R,20200106,4,04 1903  WDL/UTI,3,12,1,1578356473,414S,1578359540
114900_4..S06R,20200106,4,04 1909  WDL/UTI,3,10,1,1578356389,412S,1578359540
115500_4..S06R,20200106,4,04 1915  WDL/UTI,3,5,2,1578356491,407S,1578359540
115700_4..N06R,20200106,4,04 1917  UTI/WDL,1,3,2,1578356486,235N,1578359540
116200_4..N06R,20200106,4,04 1922  UTI/WDL,1,1,1,1578356285,250N,1578359540
107700_5..N74R,20200106,5X,05 1757  FLA/DYR,1,27,1,1578356468,503N,1578359540
107800_5..S03R,20200106,5,05 1758  DYR/FLA,3,33,1,1578356450,244S,1578359540
108750_5..S03R,20200106,5,05 1807+ DYR/FLA,3,31,1,1578356472,242S,1578359540
108950_5..N74R,20200106,5X,05 1809+ FLA/DYR,1,25,2,1578356491,505N,1578359540
109000_5..N72R,20200106,5,05 1810  UTI/DYR,1,20,0,1578356481,504N,1578359540
109650_5..S03R,20200106,5,05 1816+ DYR/FLA,3,28,1,1578356454,235S,1578359540
109850_5..N74R,20200106,5X,05 1818+ FLA/DYR,1,24,0,1578356491,213N,1578359540
110700_5..N74R,20200106,5X,05 1827  FLA/DYR,1,23,1,1578356471,221N,1578359540
110800_5..S03R,20200106,5,05 1828  DYR/FLA,3,24,0,1578356493,419S,1578359540
111350_5..N74R,20200106,5X,05 1833+ FLA/DYR,1,21,2,1578356490,416N,1578359540
111500_5..S03R,20200106,5,05 1835  DYR/FLA,3,21,2,1578356464,635S,1578359540
112200_5..N74R,20200106,5X,05 1842  FLA/DYR,1,18,1,1578356485,629N,1578359540
112500_5..S03R,20200106,5,05 1845  DYR/FLA,3,18,2,1578356489,626S,1578359540
113200_5..S03R,20200106,5,05 1852  DYR/FLA,3,15,1,1578356429,222S,1578359540
113300_5..N74R,20200106,5X,05 1853  FLA/DYR,1,16,2,1578356486,635N,1578359540
114200_5..S03R,20200106,5,05 1902  DYR/FLA,3,10,1,1578356490,217S,1578359540
114550_5..N71R,20200106,5,05 1905+ FLA/DYR,1,12,2,1578356484,420N,1578359540
114850_5..S07R,20200106,5,05 1908+ DYR/UTI,3,8,0,1578356489,215S,1578359540
115600_5..S07R,20200106,5,05 1916  DYR/UTI,3,4,1,1578356465,504S,1578359540
115700_5..N71R,20200106,5,05 1917  FLA/DYR,1,4,0,1578356493,244N,1578359540
117850_5..S07R,20200106,5,05 1938+ DYR/UTI,1,1,1,1578356425,501S,1578359540
110150_6..N02R,20200106,6X,06 1821+ BBR/PEL,1,26,1,1578356488,604N,1578359540
110850_6..N02R,20200106,6X,06 1828+ BBR/PEL,1,24,2,1578356491,607N,1578359540
111000_6..S01R,20200106,6,06 1830  PEL/BBR,3,33,1,1578356489,635S,1578359540
111200_6..N03R,20200106,6,06 1832  BBR/177,1,30,0,1578356489,610N,1578359540
111400_6..S01R,20200106,6,06 1834  PEL/BBR,3,30,2,1578356493,632S,1578359540
111450_6..S03R,20200106,6,06 1834+ 177/BBR,3,29,1,1578356458,637S,1578359540
111600_6..N02R,20200106,6X,06 1836  BBR/PEL,1,23,2,1578356492,608N,1578359540
112000_6..N01R,20200106,6,06 1840  BBR/PEL,1,25,1,1578356468,615N,1578359540
112200_6..S01R,20200106,6,06 1842  PEL/BBR,3,26,0,1578356485,628S,1578359540
112400_6..N02R,20200106,6X,06 1844  BBR/PEL,1,22,2,1578356486,613N,1578359540
112750_6..S03R,20200106,6,06 1847+ 177/BBR,3,23,2,1578356491,631S,1578359540
112800_6..N03R,20200106,6,06 1848  BBR/177,1,21,2,1578356493,619N,1578359540
113000_6..S01R,20200106,6,06 1850  PEL/BBR,3,19,2,1578356485,621S,1578359540
113550_6..S03R,20200106,6,06 1855+ 177/BBR,3,17,0,1578356489,625S,1578359540
113600_6..N01R,20200106,6,06 1856  BBR/PEL,1,16,1,1578356491,625N,1578359540
113900_6..S01R,20200106,6,06 1859  PEL/BBR,3,14,1,1578356453,615S,1578359540
114000_6..N02R,20200106,6X,06 1900  BBR/PEL,1,15,2,1578356489,626N,1578359540
114400_6..S03R,20200106,6,06 1904  177/BBR,3,11,1,1578356480,618S,1578359540
114400_6..N03R,20200106,6,06 1904  BBR/177,1,13,2,1578356480,628N,1578359540
114600_6..S01R,20200106,6,06 1906  PEL/BBR,3,11,2,1578356476,612S,1578359540
114800_6..N02R,20200106,6X,06 1908  BBR/PEL,1,11,1,1578356481,630N,1578359540
115100_6..S01R,20200106,6,06 1911  PEL/BBR,3,8,1,1578356463,609S,1578359540
115300_6..S03R,20200106,6,06 1913  177/BBR,3,6,1,1578356452,613S,1578359540
115600_6..N03R,20200106,6,06 1916  BBR/177,1,6,1,1578356477,635N,1578359540
115800_6..N01R,20200106,6,06 1918  BBR/PEL,1,4,1,1578356479,637N,1578359540
116100_6..S01R,20200106,6,06 1921  PEL/BBR,3,2,1,1578356490,602S,1578359540
116400_6..N01R,20200106,6,06 1924  BBR/PEL,1,1,1,1578356369,640N,1578359540
116100_GS.S04R,20200106,GS,0S 1921  TSS/GCS,3,2,2,1578356490,901S,1578359540
111350_1..S,20200106,1,/1 1833+ 242/SFT,3,28,2,1578356524,134S,1578359540
110100_1..N03R,20200106,1,01 1821  SFT/242,1,38,2,1578356509,101N,1578359540
110500_1..N03R,20200106,1,01 1825  SFT/242,1,37,2,1578356495,103N,1578359540
110900_1..S03R,20200106,1,01 1829  242/SFT,3,38,2,1578356523,142S,1578359540
111000_1..N03R,20200106,1,01 1830  SFT/242,1,33,2,1578356518,108N,1578359540
111400_1..N03R,20200106,1,01 1834  SFT/242,1,32,0,1578356523,109N,1578359540
111800_1..S03R,20200106,1,01 1838  242/SFT,3,28,1,1578356508,130S,1578359540
111800_1..N03R,20200106,1,01 1838  SFT/242,1,30,1,1578356512,111N,1578359540
112250_1..S03R,20200106,1,01 1842+ 242/SFT,3,26,1,1578356506,128S,1578359540
112400_1..N03R,20200106,1,01 1844  SFT/242,1,27,2,1578356517,114N,1578359540
112700_1..S03R,20200106,1,01 1847  242/SFT,3,25,2,1578356517,127S,1578359540
112950_1..S03R,20200106,1,01 1849+ 242/SFT,3,22,1,1578356512,124S,1578359540
113000_1..N03R,20200106,1,01 1850  SFT/242,1,25,1,1578356510,116N,1578359540
113450_1..S03R,20200106,1,01 1854+ 242/SFT,3,20,0,1578356523,122S,1578359540
113600_1..N03R,20200106,1,01 1856  SFT/242,1,20,1,1578356479,121N,1578359540
113850_1..S03R,20200106,1,01 1858+ 242/SFT,3,18,1,1578356522,120S,1578359540
114200_1..N03R,20200106,1,01 1902  SFT/242,1,15,1,1578356495,126N,1578359540
114250_1..S03R,20200106,1,01 1902+ 242/SFT,3,14,2,1578356516,116S,1578359540
114650_1..S03R,20200106,1,01 1906+ 242/SFT,3,11,0,1578356523,113S,1578359540
114800_1..N03R,20200106,1,01 1908  SFT/242,1,11,1,1578356507,130N,1578359540
115050_1..S03R,20200106,1,01 1910+ 242/SFT,3,8,1,1578356503,110S,1578359540
115450_1..S03R,20200106,1,01 1914+ 242/SFT,3,7,1,1578356521,109S,1578359540
115450_1..N03R,20200106,1,01 1914+ SFT/242,1,7,0,1578356521,134N,1578359540
115900_1..S03R,20200106,1,01 1919  242/SFT,3,3,1,1578356484,104S,1578359540
115900_1..N03R,20200106,1,01 1919  SFT/242,1,3,1,1578356511,138N,1578359540
116350_1..S03R,20200106,1,01 1923+ 242/SFT,3,2,2,1578356521,103S,1578359540
105650_2..N01R,20200106,2,02 1736+ FLA/241,1,48,1,1578356236,204N,1578359540
105800_2..S01R,20200106,2,02 1738  241/FLA,3,49,1,1578356521,247S,1578359540
106200_2..N01R,20200106,2,02 1742  FLA/241,1,47,1,1578356491,205N,1578359540
106600_2..S01R,20200106,2,02 1746  241/FLA,3,48,1,1578356497,246S,1578359540
106950_2..N01R,20200106,2,02 1749+ FLA/241,1,47,2,1578356514,205N,1578359540
107200_2..S01R,20200106,2,02 1752  241/FLA,3,47,1,1578356499,245S,1578359540
107500_2..N01R,20200106,2,02 1755  FLA/241,1,41,0,1578356516,211N,1578359540
108050_2..S01R,20200106,2,02 1800+ 241/FLA,3,43,2,1578356512,241S,1578359540
108200_2..N01R,20200106,2,02 1802  FLA/241,1,39,1,1578356495,213N,1578359540
108750_2..S01R,20200106,2,02 1807+ 241/FLA,3,39,2,1578356521,236S,1578359540
108750_2..N01R,20200106,2,02 1807+ FLA/241,1,36,1,1578356501,216N,1578359540
109450_2..S01R,20200106,2,02 1814+ 241/FLA,3,35,1,1578356504,232S,1578359540
109500_2..N01R,20200106,2,02 1815  FLA/241,1,35,1,1578356520,217N,1578359540
110050_2..N01R,20200106,2,02 1820+ FLA/241,1,33,2,1578356523,219N,1578359540
110100_2..S01R,20200106,2,02 1821  241/FLA,3,32,1,1578356519,229S,1578359540
110550_2..N01R,20200106,2,02 1825+ FLA/241,1,30,2,1578356523,222N,1578359540
110800_2..S01R,20200106,2,02 1828  241/FLA,3,29,2,1578356510,132S,1578359540
111100_2..N01R,20200106,2,02 1831  FLA/241,1,26,2,1578356521,227N,1578359540
111550_2..S01R,20200106,2,02 1835+ 241/FLA,3,26,2,1578356515,123S,1578359540
111550_2..N01R,20200106,2,02 1835+ FLA/241,1,25,2,1578356524,120N,1578359540
112250_2..S01R,20200106,2,02 1842+ 241/FLA,3,23,1,1578356513,226S,1578359540
112450_2..N01R,20200106,2,02 1844+ FLA/241,1,22,2,1578356521,128N,1578359540
112950_2..S01R,20200106,2,02 1849+ 241/FLA,3,20,2,1578356511,222S,1578359540
113100_2..N01R,20200106,2,02 1851  FLA/241,1,20,2,1578356517,137N,1578359540
113500_2..S01R,20200106,2,02 1855  241/FLA,3,17,1,1578356510,219S,1578359540
113850_2..N01R,20200106,2,02 1858+ FLA/241,1,18,1,1578356512,229N,1578359540
114150_2..S01R,20200106,2,02 1901+ 241/FLA,3,14,1,1578356495,216S,1578359540
114700_2..N01R,20200106,2,02 1907  FLA/241,1,9,0,1578356519,238N,1578359540
114900_2..S01R,20200106,2,02 1909  241/FLA,3,10,1,1578356500,212S,1578359540
115300_2..N01R,20200106,2,02 1913  FLA/241,1,6,2,1578356522,242N,1578359540
115750_2..S01R,20200106,2,02 1917+ 241/FLA,3,6,1,1578356522,208S,1578359540
115900_2..N01R,20200106,2,02 1919  FLA/241,1,3,1,1578356510,245N,1578359540
109750_3..S01R,20200106,3,03 1817+ 148/NLT,3,32,2,1578356522,255S,1578359540
109800_3..N01R,20200106,3,03 1818  NLT/148,1,33,1,1578356428,302N,1578359540
110450_3..S01R,20200106,3,03 1824+ 148/NLT,3,28,2,1578356523,251S,1578359540
110700_3..N01R,20200106,3,03 1827  NLT/148,1,29,2,1578356507,227N,1578359540
111150_3..S01R,20200106,3,03 1831+ 148/NLT,3,26,2,1578356520,249S,1578359540
111600_3..N01R,20200106,3,03 1836  NLT/148,1,26,1,1578356424,127N,1578359540
111850_3..S01R,20200106,3,03 1838+ 148/NLT,3,22,1,1578356515,237S,1578359540
112450_3..N01R,20200106,3,03 1844+ NLT/148,1,24,0,1578356522,132N,1578359540
112950_3..S01R,20200106,3,03 1849+ 148/NLT,3,18,1,1578356473,233S,1578359540
113100_3..N01R,20200106,3,03 1851  NLT/148,1,20,2,1578356516,230N,1578359540
113650_3..S01R,20200106,3,03 1856+ 148/NLT,3,12,0,1578356517,137S,1578359540
113950_3..N01R,20200106,3,03 1859+ NLT/148,1,17,1,1578356520,233N,1578359540
114450_3..S01R,20200106,3,03 1904+ 148/NLT,3,9,1,1578356504,127S,1578359540
114650_3..N01R,20200106,3,03 1906+ NLT/148,1,11,0,1578356510,239N,1578359540
115250_3..S01R,20200106,3,03 1912+ 148/NLT,3,7,2,1578356520,120S,1578359540
115550_3..N01R,20200106,3,03 1915+ NLT/148,1,6,1,1578356505,252N,1578359540
116050_3..S01R,20200106,3,03 1920+ 148/NLT,3,4,2,1578356523,225S,1578359540
108800_4..N06R,20200106,4,04 1808  UTI/WDL,1,27,1,1578356506,402N,1578359540
109800_4..S06R,20200106,4,04 1818  WDL/UTI,3,27,2,1578356518,239S,1578359540
110350_4..S06R,20200106,4,04 1823+ WDL/UTI,3,25,1,1578356471,234S,1578359540
110450_4..N06R,20200106,4,04 1824+ UTI/WDL,1,20,1,1578356506,411N,1578359540
111400_4..N06R,20200106,4,04 1834  UTI/WDL,1,17,2,1578356519,414N,1578359540
111850_4..N06R,20200106,4,04 1838+ UTI/WDL,1,15,2,1578356507,416N,1578359540
111850_4..S06R,20200106,4,04 1838+ WDL/UTI,3,20,2,1578356514,640S,1578359540
112500_4..S06R,20200106,4,04 1845  WDL/UTI,3,18,1,1578356518,631S,1578359540
112650_4..N43R,20200106,4,04 1846+ UTI/BUR,1,14,2,1578356512,621N,1578359540
112950_4..N06R,20200106,4,04 1849+ UTI/WDL,1,13,2,1578356515,626N,1578359540
113100_4..S06R,20200106,4,04 1851  WDL/UTI,3,16,2,1578356520,626S,1578359540
113700_4..N06R,20200106,4,04 1857  UTI/WDL,1,11,2,1578356522,631N,1578359540
113700_4..S06R,20200106,4,04 1857  WDL/UTI,3,15,1,1578356498,621S,1578359540
114300_4..N,20200106,4,04 1903  UTI/WDL,1,6,1,1578356496,420N,1578359540
114300_4..S06R,20200106,4,04 1903  WDL/UTI,3,12,1,1578356473,414S,1578359540
114900_4..S06R,20200106,4,04 1909  WDL/UTI,3,10,1,1578356389,412S,1578359540
115500_4..S06R,20200106,4,04 1915  WDL/UTI,3,5,1,1578356502,407S,1578359540
115700_4..N06R,20200106,4,04 1917  UTI/WDL,1,3,2,1578356515,235N,1578359540
116100_4..S06R,20200106,4,04 1921  WDL/UTI,3,2,2,1578356517,402S,1578359540
116200_4..N06R,20200106,4,04 1922  UTI/WDL,1,2,2,1578356515,239N,1578359540
107700_5..N74R,20200106,5X,05 1757  FLA/DYR,1,28,2,1578356524,502N,1578359540
107800_5..S03R,20200106,5,05 1758  DYR/FLA,3,33,1,1578356450,244S,1578359540
108750_5..S03R,20200106,5,05 1807+ DYR/FLA,3,31,1,1578356472,242S,1578359540
108950_5..N74R,20200106,5X,05 1809+ FLA/DYR,1,25,2,1578356516,505N,1578359540
109000_5..N72R,20200106,5,05 1810  UTI/DYR,1,20,1,1578356500,504N,1578359540
109650_5..S03R,20200106,5,05 1816+ DYR/FLA,3,29,2,1578356515,239S,1578359540
109850_5..N74R,20200106,5X,05 1818+ FLA/DYR,1,24,1,1578356511,213N,1578359540
110700_5..N74R,20200106,5X,05 1827  FLA/DYR,1,23,1,1578356471,221N,1578359540
110800_5..S03R,20200106,5,05 1828  DYR/FLA,3,24,1,1578356513,419S,1578359540
111350_5..N74R,20200106,5X,05 1833+ FLA/DYR,1,21,2,1578356490,416N,1578359540
111500_5..S03R,20200106,5,05 1835  DYR/FLA,3,21,2,1578356518,635S,1578359540
112200_5..N74R,20200106,5X,05 1842  FLA/DYR,1,18,1,1578356485,629N,1578359540
112500_5..S03R,20200106,5,05 1845  DYR/FLA,3,18,2,1578356514,626S,1578359540
113200_5..S03R,20200106,5,05 1852  DYR/FLA,3,16,2,1578356510,416S,1578359540
113300_5..N74R,20200106,5X,05 1853  FLA/DYR,1,16,0,1578356521,635N,1578359540
114200_5..S03R,20200106,5,05 1902  DYR/FLA,3,10,1,1578356490,217S,1578359540
114550_5..N71R,20200106,5,05 1905+ FLA/DYR,1,12,2,1578356519,420N,1578359540
114850_5..S07R,20200106,5,05 1908+ DYR/UTI,3,8,1,1578356510,215S,1578359540
115600_5..S07R,20200106,5,05 1916  DYR/UTI,3,5,2,1578356520,505S,1578359540
115700_5..N71R,20200106,5,05 1917  FLA/DYR,1,4,1,1578356498,244N,1578359540
117850_5..S07R,20200106,5,05 1938+ DYR/UTI,1,1,1,1578356425,501S,1578359540
110150_6..N02R,20200106,6X,06 1821+ BBR/PEL,1,26,1,1578356488,604N,1578359540
110850_6..N02R,20200106,6X,06 1828+ BBR/PEL,1,24,0,1578356506,607N,1578359540
111000_6..S01R,20200106,6,06 1830  PEL/BBR,3,33,1,1578356489,635S,1578359540
111200_6..N03R,20200106,6,06 1832  BBR/177,1,30,1,1578356495,610N,1578359540
111400_6..S01R,20200106,6,06 1834  PEL/BBR,3,30,2,1578356518,632S,1578359540
111450_6..S03R,20200106,6,06 1834+ 177/BBR,3,30,0,1578356506,638S,1578359540
111600_6..N02R,20200106,6X,06 1836  BBR/PEL,1,23,2,1578356512,608N,1578359540
112000_6..N01R,20200106,6,06 1840  BBR/PEL,1,26,2,1578356519,614N,1578359540
112200_6..S01R,20200106,6,06 1842  PEL/BBR,3,26,1,1578356505,628S,1578359540
112400_6..N02R,20200106,6X,06 1844  BBR/PEL,1,22,2,1578356523,613N,1578359540
112750_6..S03R,20200106,6,06 1847+ 177/BBR,3,23,2,1578356523,631S,1578359540
112800_6..N03R,20200106,6,06 1848  BBR/177,1,21,2,1578356522,619N,1578359540
113000_6..S01R,20200106,6,06 1850  PEL/BBR,3,19,2,1578356519,621S,1578359540
113550_6..S03R,20200106,6,06 1855+ 177/BBR,3,17,1,1578356523,625S,1578359540
113600_6..N01R,20200106,6,06 1856  BBR/PEL,1,16,1,1578356491,625N,1578359540
113900_6..S01R,20200106,6,06 1859  PEL/BBR,3,15,0,1578356517,616S,1578359540
114000_6..N02R,20200106,6X,06 1900  BBR/PEL,1,15,1,1578356509,626N,1578359540
114400_6..S03R,20200106,6,06 1904  177/BBR,3,12,2,1578356524,619S,1578359540
114400_6..N03R,20200106,6,06 1904  BBR/177,1,13,1,1578356518,628N,1578359540
114600_6..S01R,20200106,6,06 1906  PEL/BBR,3,11,1,1578356515,612S,1578359540
114800_6..N02R,20200106,6X,06 1908  BBR/PEL,1,11,1,1578356481,630N,1578359540
115100_6..S01R,20200106,6,06 1911  PEL/BBR,3,9,0,1578356524,610S,1578359540
115300_6..S03R,20200106,6,06 1913  177/BBR,3,7,2,1578356515,614S,1578359540
115600_6..N03R,20200106,6,06 1916  BBR/177,1,6,1,1578356477,635N,1578359540
115800_6..N01R,20200106,6,06 1918  BBR/PEL,1,4,1,1578356479,637N,1578359540
116100_6..S01R,20200106,6,06 1921  PEL/BBR,3,2,1,1578356490,602S,1578359540
116400_6..N01R,20200106,6,06 1924  BBR/PEL,1,1,1,1578356369,640N,1578359540
116100_GS.S04R,20200106,GS,0S 1921  TSS/GCS,3,2,0,1578356518,901S,1578359540
111350_1..S,20200106,1,/1 1833+ 242/SFT,3,28,2,1578356535,134S,1578359540
110100_1..N03R,20200106,1,01 1821  SFT/242,1,38,2,1578356525,101N,1578359540
110500_1..N03R,20200106,1,01 1825  SFT/242,1,37,2,1578356495,103N,1578359540
110900_1..S03R,20200106,1,01 1829  242/SFT,3,38,2,1578356535,142S,1578359540
111000_1..N03R,20200106,1,01 1830  SFT/242,1,33,1,1578356536,108N,1578359540
111400_1..N03R,20200106,1,01 1834  SFT/242,1,32,1,1578356528,109N,1578359540
111800_1..S03R,20200106,1,01 1838  242/SFT,3,28,1,1578356508,130S,1578359540
111800_1..N03R,20200106,1,01 1838  SFT/242,1,30,1,1578356512,111N,1578359540
112250_1..S03R,20200106,1,01 1842+ 242/SFT,3,26,1,1578356506,128S,1578359540
112400_1..N03R,20200106,1,01 1844  SFT/242,1,27,2,1578356528,114N,1578359540
112700_1..S03R,20200106,1,01 1847  242/SFT,3,25,2,1578356517,127S,1578359540
112950_1..S03R,20200106,1,01 1849+ 242/SFT,3,22,1,1578356512,124S,1578359540
113000_1..N03R,20200106,1,01 1850  SFT/242,1,25,1,1578356510,116N,1578359540
